Baby Diaper,Grocery Non Food > Personal Care & Cosmetics > Baby,B01MTUXJ4T,Pampers Active Baby Diaper - New Baby 24 pcs Pouch,Pampers Active Baby New Baby 24s.
Beauty Accessory,Grocery Non Food > Personal Care & Cosmetics > Beauty,B008TO8TNY,"Vega Grooming Comb, Large, 1 Piece (Purple)",VEGA GROOMING COMB (LARGE) 1299
Breakfast,General Merchandise > Home Needs & Home Upkeep > Crockery,B08DNKQ7NZ,"Joyo Plastics Disney Printed Coffee Mug, Assorted, 300ml, 1 Piece",Disney Mugs
Dog Food,Grocery Food > Processed Food > Pet Food,B00LHS8286,"Pedigree Puppy Wet Dog Food- Chicken Chunks in Gravy, 80g Pouch",Pedigree Dog Food Puppy Chicken Chunks Gravy 70 Gm
CTC/Leaf Tea,Grocery Food > Breakfast > Packaged Tea,B00AI87X0O,"Tata Tea Premium, 1kg",Tata Premium 1 kg Pouch
Culinary Sauces,Grocery Food > Processed Food > Culinary,B003TUK94K,"Barilla Sugo Arrabbita, 400g",Barilla Arabiatta 400 gm Bottle
Shampoo,Grocery Non Food > Personal Care & Cosmetics > Hair Care,B0146R97CY,"Dove Shampoo - Hair Fall Rescue, 80ml Bottle",Dove Hairfall Rescue Shampoo 80 ml.
Facial Cleanser,Grocery Non Food > Personal Care & Cosmetics > Skin Care,B006LXCLI4,"POND'S Bright Beauty Spot-less Glow Face Wash With Vitamins, Removes Dead Skin Cells & Dark Spots, Double Brightness Action, All Skin Types, 100g",Ponds White Beauty Pinkish White Glow Facial Foam 100 Gm.
Tooth Brush,Grocery Non Food > Personal Care & Cosmetics > Oral Care,B08PP13X5P,Pepsodent Deep Clean Toothbrush - 1 Piece (Medium),Pepsodent Flexi Action Toothbrush Medium PO1.
Spices,Staples > Spices-Dry Fruits & Organics > Spices and Dry Fruits,B08KW9J4WR,"Shree Spices - Kalonji, 100g",Shree Kalonji 100 Gm
