class_name,category_str,item_no,ASIN_description,item_description,subclass,ASIN,brand_code,brand_name,manufacturer_code,manufacturer_name,private_label,vendor_part_no,rtv_nrtv,rpc,tax_category,local_import,fixed_margin,margin_model,segment,brand_type,style_no,apps_season,sales_profile,colour,size,plu_code,level_1_item,level_1_item_desc,standard_uom,net_weight,uom,rob_name,variant,flavour_fragrance,formulation,functionality_benefit,price_tier,pack_type,packsize_capacity,margin_type,wattage,rating,width,depth,height,pog_class,spt_member,fixture_type,veg_nonveg,shelf_life,budgeted_dos,min_disp_qty,npi_flag
Frozen Non Veg,BDF > Frozen & Dairy > Frozen,100595897,"Sea Star Sea Food - Basa Fish Fillet, 500g Pack",Sea Star Basa Fillet 500G.,Seafood Raw,B01MY7817A,4072,Brite-O,3220,Global Foods,Non PL,,NRTV,NO,5246,No,No,Cost Base,,External,NULL,NULL,C,,,,100595896,Sea Star Basa Fillet 500G.,EA,1,G,FD_FZ_NV_Frozen NonVeg,BASA,,,,PREMIUM,POUCH,500 GM,N,,,17,3,17,ANF,,,,365,,,N
Shampoo,Grocery Non Food > Personal Care & Cosmetics > Hair Care,100151507,"Clear Complete Active Care Anti Dandruff Shampoo, 350 ml",Clinic All Clr Complete Active Care Antidandruff Sham 375ml,Anti Dandruff,B01DOZYY8Q,124,Clinic All Clear,4067,Hindustan Unilever Limited,Non PL,,NRTV,NO,7458,No,No,MRP Base,,External,NULL,NULL,C,,,,100151506,Clinic All Clr Complete Active Care Antidandruff Sham 375ml,EA,0.350,KG,PC_HC_Shampoo,,,,,,Bottle,301 - 500 ml,Y,,,8.30,4.30,21.30,HAI,,,,1095,,,N
Spreads & Dressings,Grocery Food > Processed Food > Culinary,101297570,"Nutralite Eggless Mayonnaise Cheesy - Garlic, 275g",NutraliteMayonnaise Cheesy Garlic275 gm Bottle,Mayonnaise,B08GPKH5VY,456,Nutralite,1405,Zydus Cadilla Consumer Div Ltd,Non PL,,NRTV,NO,6504,No,No,MRP Base,,External,NULL,NULL,C,,,,101297569,NutraliteMayonnaise Cheesy Garlic275 gm Bottle,EA,0.275,G,PF_Culinary_SpreadsandDressings,,,,,,,,Y,,,8.00,8.00,20.00,SPK,,,,180,,,N
Yoghurt,BDF > Frozen & Dairy > Short Life Dairy,100689163,"Epigamia Greek Yoghurt - Honey Banana, 90g Cup",Epigamia Greek Yoghurt Honey Banana 90 Gm Cup,Yoghurt,B01N1JUM7H,5400,Epigamia,5261,Drums Food Pvt Ltd,Non PL,,NRTV,NO,5004,No,No,Cost Base,,External,NULL,NULL,C,,,,100689162,Epigamia Greek Yoghurt Honey Banana 90 Gm Cup,EA,0.09,,FD_SLD_CurdDahi,Honey,,,,Mass,Cup,90 GM,N,,,6.9,5,6.9,DAC,,,Veg,18,,,N
Cream Biscuit,Grocery Food > Processed Food > Biscuit,100129251,"Britannia Treat Funky Choco Biscuits, 120g",Britannia Cream Biscuit Treat Chocolate 120 gm,Sandwich Cream Biscuit,B08HLT2HYG,1841,Britannia Treat,15,Britannia Industries Ltd,Non PL,,NRTV,NO,7009,No,No,MRP Base,Pouch,External,NULL,NULL,C,,,,100129250,Britannia Cream Biscuit Treat Chocolate 120 gm,EA,0.12,G,PF_Biscuit_Cream Biscuit,Sandwich,Chocolate,,,,Singles,,Y,,,18,5,5,BIS,,,,900,,,N
Yoghurt,BDF > Frozen & Dairy > Short Life Dairy,101504078,"Epigamia Caramelized Greek Yogurt, 90 g",Epigamia Greek Yogurt Caramelized Fig 90 gm Cup,Yoghurt,B07X96DN32,5400,Epigamia,5261,Drums Food Pvt Ltd,Non PL,,NRTV,NO,5004,No,No,Cost Base,,External,NULL,NULL,C,,,,101504077,Epigamia Greek Yogurt Caramelized Fig 90 gm Cup,EA,0.090,G,FD_SLD_CurdDahi,,,,,,,,N,,,7,7,8,,,,,17,,,N
Soap,Grocery Non Food > Personal Care & Cosmetics > Personal Wash,101654113,"Dove Go Fresh Oil Control Moisturising Soap, 100 g (Pack of 3) with Pack of 3",Dove Oil Control Multi 100*3 300 gm Pack,Premium Soap,B07T8NV5GM,168,Dove,4067,Hindustan Unilever Limited,Non PL,,NRTV,NO,7023,No,No,MRP Base,,External,NULL,NULL,C,,,,101654112,Dove Oil Control Multi 100*3 300 gm Pack,EA,0.341,KG,,,,,,,,,Y,,,10,6,9,,,,,900,,,N
Yoghurt,BDF > Frozen & Dairy > Short Life Dairy,101808865,"Epigamia Greek Yogurt Peach & Apricot- No Added Sugar, 120 g",Epigamia GY No Sugar Peach Apricot 120 gm Cup,Yoghurt,B081RW2R3H,5400,Epigamia,5261,Drums Food Pvt Ltd,Non PL,,NRTV,NO,5004,No,No,MRP Base,,External,NULL,NULL,C,,,,101808864,Epigamia GY No Sugar Peach Apricot 120 gm Cup,EA,0.120,KG,fd_sld_curddahi,,,,,,,,Y,,,7,7,7,,,,,17,,,N
Recipe Pasta,Grocery Food > Processed Food > Instant Prepared Food,101359154,Donna Chiara Chifferi Pasta 500g (Pack of 2),Donna Chiara CHIFFERI 500 gm Pack,Other Shape,B00NBHV3TG,673,Unbranded,424,Unbranded,Non PL,,NRTV,NO,6497,No,No,MRP Base,,External,NULL,NULL,C,,,,101359153,Donna Chiara CHIFFERI 500 gm Pack,EA,0.5,G,PF_IPF_RP&IP&Soup,,,,,,,,Y,,,19,23,5,,,,,365,,,N
Breakfast,General Merchandise > Home Needs & Home Upkeep > Crockery,100002381,"Joyo Plastics Disney Printed Coffee Mug, Assorted, 300ml, 1 Piece",Disney Mugs,Mugs and Sippers,B08DNKQ7NZ,673,Unbranded,2183,Joyo Plastics,Non PL,,NRTV,NO,7037,No,No,Cost Base,,External,NULL,NULL,C,Solid,,,100002376,Disney Mugs,EA,0.0001,G,Mugs and Sippers,Plastic,,,,,,Small,N,,,8,8,10,,,,,1500,,,N
